id_str,created_at,text
612790446138499076,Mon Jun 22 01:13:22 +0000 2015,"""@IsaacNewYorker: I said when Trump ran for president i was gonna be the happiest man on earth,when he wins,all Americans will be #Trump16"""
612790604616085506,Mon Jun 22 01:13:59 +0000 2015,"""@sallyvp: @realDonaldTrump Mr. Trump tell America they are fired! Bring some respect and balls back to the USA."""
612791807680860160,Mon Jun 22 01:18:46 +0000 2015,"""@JakeAwK: Donald Trump is the ONLY candidate that is incorruptible and he will get rid off all of the incompetence ruining our country."
612792007203885056,Mon Jun 22 01:19:34 +0000 2015,"""@Jessyandcandy: Trump,  you got my vote. With your proven resume os success. People would be nuts not to vote for you. Trump2016"""
612792497065037825,Mon Jun 22 01:21:31 +0000 2015,"""@cota2012: @realDonaldTrump @hyannis1952 @FoxNews it's amazing how people fear a change for the better"""
612930889920684032,Mon Jun 22 10:31:26 +0000 2015,"Sadly, I will no longer be doing @foxandfriends at 7:00 A.M. on Mondays. This is because I am running for president and law prohibits. LOVE!"
612932881623711744,Mon Jun 22 10:39:21 +0000 2015,"I want to thank Elizabeth, Steve, Brian and all of the great folks of @foxandfriends for the long and successful run we had together. NICE!"
612972184827359232,Mon Jun 22 13:15:31 +0000 2015,"""@williamonlyrent @realDonaldTrump Only a fool will underestimate #Trump2016. Trump will surprise everybody and America needs him."""
612980864671219712,Mon Jun 22 13:50:01 +0000 2015,.@deneenborelli  Thank you for your nice words--greatly appreciated.
612986008091656193,Mon Jun 22 14:10:27 +0000 2015,Thank you. https://t.co/l4g1VmXsCn
612989191459368960,Mon Jun 22 14:23:06 +0000 2015,"""@SovAdjEast  The USA is like Wollman Rink or Ferrypoint before DJT. You came you saw and built a masterpiece. Now it's the USA' s turn."""
612991587291922432,Mon Jun 22 14:32:37 +0000 2015,"""@carsonbonner @realDonaldTrump A businessman that understands the world's business/politics. #Trump2016"""
612993201046179841,Mon Jun 22 14:39:02 +0000 2015,"""Hillary Clinton Dominates the Pack in Fake Twitter Followers"" http://t.co/e16f6FM8uQ"
612997261031776256,Mon Jun 22 14:55:10 +0000 2015,.@JordanSpieth  Great job--you are a true champion! See you soon.
613019681142784004,Mon Jun 22 16:24:15 +0000 2015,"""@AbishurPrakash  My latest piece on @realDonaldTrump winning the foreign policy race. #Trump2016 https://t.co/vzLZgJOEQC …"""
613022549824405504,Mon Jun 22 16:35:39 +0000 2015,It's time for government to stop picking winners &amp; losers. Let’s make sure everyone can achieve the American dream! https://t.co/u25yI5T7E8
613024248572026880,Mon Jun 22 16:42:24 +0000 2015,Who do you want negotiating for us? #MakeAmericaGreatAgain https://t.co/WASlyxbG1j
613032931460784128,Mon Jun 22 17:16:55 +0000 2015,Flashback – Jeb Bush received a $4M tax payer bailout in 1990 http://t.co/R2bpNbRQRX  Guess who was POTUS then?
613046248782868480,Mon Jun 22 18:09:50 +0000 2015,The Senate must NOT pass TPA! Any Senator who votes for it is disqualified for being POTUS. Protect the American worker and manufacturer!
613054662594461696,Mon Jun 22 18:43:16 +0000 2015,Entrepreneurs: Negotiation is an art. Treat it like one.
613055410669490176,Mon Jun 22 18:46:14 +0000 2015,"Entrepreneurs: Be tough, be smart, be personable, but don't take things personally. That's good business."
613059647210156032,Mon Jun 22 19:03:04 +0000 2015,Entrepreneurs: Brainpower is the ultimate leverage. Don't underestimate yourself or your possibilities.
613069021668356096,Mon Jun 22 19:40:19 +0000 2015,.@DanaPerino  Have you released a copy of the beautiful thank you card you sent me? Would you like to see it? @ericbolling @kimguilfoyle
